127.0.0.1 - - [09/Jul/2016:19:02:06 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:18 -0300] "GET /book-store/Produtos HTTP/1.1" 200 6934
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:18 -0300] "GET /book-store/book-store-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:22 -0300] "POST /book-store/Produtos HTTP/1.1" 200 6939
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:24 -0300] "POST /book-store/Produtos HTTP/1.1" 200 7002
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:27 -0300] "POST /book-store/Produtos HTTP/1.1" 200 7002
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:27 -0300] "POST /book-store/Produtos HTTP/1.1" 200 7002
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:27 -0300] "POST /book-store/Produtos HTTP/1.1" 200 7002
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:29 -0300] "POST /book-store/Produtos HTTP/1.1" 200 6940
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:30 -0300] "POST /book-store/Produtos HTTP/1.1" 200 6940
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:30 -0300] "POST /book-store/Produtos HTTP/1.1" 200 6939
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:31 -0300] "POST /book-store/Produtos HTTP/1.1" 200 6939
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:31 -0300] "POST /book-store/Produtos HTTP/1.1" 200 6939
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:32 -0300] "POST /book-store/Produtos HTTP/1.1" 200 6939
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:32 -0300] "POST /book-store/Produtos HTTP/1.1" 200 6939
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:32 -0300] "POST /book-store/Produtos HTTP/1.1" 200 6939
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:32 -0300] "POST /book-store/Produtos HTTP/1.1" 200 6940
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:33 -0300] "POST /book-store/Produtos HTTP/1.1" 200 6940
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:33 -0300] "POST /book-store/Produtos HTTP/1.1" 200 6940
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:34 -0300] "POST /book-store/Produtos HTTP/1.1" 200 6940
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:34 -0300] "POST /book-store/Produtos HTTP/1.1" 200 7003
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:38 -0300] "POST /book-store/Produtos HTTP/1.1" 200 6940
0:0:0:0:0:0:0:1 - - [09/Jul/2016:19:02:41 -0300] "POST /book-store/Produtos HTTP/1.1" 200 7003
